market,PreCOVID_SalePrice_AnnGrowth,COVID_SalePrice_AnnGrowth,PostCOVID_SalePrice_AnnGrowth,COVID_Deviation_Flag,Supply_Early_Growth,Supply_Late_Growth,Supply_Shift_Flag
Inland Empire - CA,0.08247436402854214,0.18388776789948924,-0.03966729595016116,True,0.006615326502392271,0.019590040821496624,True
Jackson - MS,0.05374066585482762,0.11876344819860929,-0.03171546231670552,True,0.01995368458595692,0.0015771608797645609,False
Jacksonville - FL,0.07973918683790426,0.19260510868750358,-0.027017224045743138,True,0.036880929973058585,0.07483566540663555,True
Kansas City - MO,0.05535706553736386,0.12604032354145134,-0.012113710967958102,True,0.03237898922324245,0.029448679954027668,False
Killeen - TX,0.04275839254917613,0.1496933578618096,-0.02819081681175395,True,0.015368183576384364,0.04520116808048957,True
Knoxville - TN,0.07090401267659607,0.16803965955100586,0.0035827116789481916,True,0.035784201869037746,0.04084506265575816,False
Lafayette - LA,0.01830013362889682,0.08321174337585768,-0.040318665916807106,True,0.005419019321410312,0.03163153542783537,True
Lakeland - FL,0.06876387440924159,0.18498569983832303,-0.034050309015641655,True,0.07956352188469973,0.13513279586539473,True
Lancaster - PA,0.07587061264951145,0.13699515278776309,-0.03237909231656566,False,0.022540717844847125,0.026959510512016394,False
Lansing - MI,0.044602985157085495,0.13239795703029134,-0.03084909626773069,True,0.017305256410608427,0.005632681664274886,False
Las Vegas - NV,0.09674292428568165,0.1981275947804233,-0.016504563200725353,True,0.018707879832409846,0.028012136690753753,False
Lehigh Valley - PA,0.04862986732548147,0.12656222822001473,-0.01970204916433338,True,0.031397717614775056,0.021469867701951362,False
Lexington - KY,0.06111895848500537,0.14374008493572,0.0010061731056889567,True,0.014915596127564434,0.021530660854528927,False
Little Rock - AR,0.04449866639728106,0.13848236938646807,-0.030571523337392437,True,0.028341322570582417,0.010062115172270847,False
Long Island - NY,0.058947065074742344,0.11433397687406943,-0.049753999631790724,False,0.020714884671617195,0.02435118732274577,False
Los Angeles - CA,0.06829836206882667,0.1105936831050851,-0.058655473081050125,False,0.010943967486863437,0.009618486881102672,False
Louisville - KY,0.061024802603260486,0.1448848248592034,-0.004111022366260153,True,0.02448511201447734,0.03273078686619213,False
Madison - WI,0.059716710936247086,0.10202085224072821,-0.003191415080518012,False,0.03668089876127989,0.04673006769965138,False
Manchester - NH,0.06580029152242672,0.16633606986003624,-0.02645995617184571,True,0.010280518752203704,0.034545318724631624,True
McAllen - TX,0.028892991604651863,0.12104302791035537,-0.04586613497747816,True,0.0276962699945007,0.051931315153900925,True
Melbourne - FL,0.09988552193862898,0.1922114010427145,-0.007694238230378514,False,0.0484721515704698,0.07630601878174992,True
Memphis - TN,0.05997755391435011,0.1575292297916968,-0.02329668679395025,True,0.008253292032279091,0.017560450949041462,True
Miami - FL,0.06121969493004831,0.16433840182310533,0.006280275831945348,True,0.03449008313049284,0.04095859270500202,False
Milwaukee - WI,0.05330242471609559,0.08512903566009822,0.00638678995082298,False,0.019206743070990795,0.02623413617193715,False
Minneapolis - MN,0.05362092241500993,0.08899826882067985,-0.04698806050302606,False,0.044979255129184104,0.039715826565631884,False
Mobile - AL,0.05639703081200276,0.15965154954313432,-0.03845000014942024,True,0.00505963072240867,0.0023803490281304462,False
Modesto - CA,0.08894931672403894,0.14683690494899815,-0.04783525235389696,False,0.004182317285177151,0.006673162828137125,True
Montgomery - AL,0.027643478443010405,0.13207158292477006,0.010207903035641674,True,0.0,0.0027867988141796474,False
Myrtle Beach - SC,0.07153396218441466,0.182706058081342,-0.019732070677684677,True,0.12078276919521214,0.2111957852351265,True
Naples - FL,0.07973873922891084,0.19691965733847416,-0.004221244636382626,True,0.0946513202174053,0.06482124474413209,False
Nashville - TN,0.06715354643122029,0.1522993606848546,-0.013659461598633849,True,0.05319698006609541,0.0713982006033973,False
New Haven - CT,0.03872164324738603,0.10793463027959804,-0.030115224145485398,True,0.021596881502134124,0.029795417626626186,False
New Orleans - LA,0.046199563870877425,0.12637149680059023,0.01227022268788347,True,0.008938005671178528,0.002412308374095895,False
New York - NY,0.04914207849210772,0.07399911668283976,-0.06567744071289483,False,0.01529596517680698,0.016311598561197904,False
