market,Rank_1yr,Rank_3yr,Rank_5yr,Rank_10yr,Trajectory_Score,Rent_Growth_1yr,Rent_Growth_5yr_Ann,Rent_Growth_10yr_Ann
Worcester - MA,36.0,29.0,43.0,84.0,48.0,0.023358330729669863,0.02824575256602757,0.02556876103922945
Northern New Jersey - NJ,80.0,129.0,136.0,128.0,48.0,0.017354696938299385,0.02350014926053734,0.022841485261813954
Long Island - NY,9.0,12.0,26.0,58.0,49.0,0.028595650250269555,0.02874961125437725,0.02639018825672257
Milwaukee - WI,78.0,93.0,112.0,127.0,49.0,0.017617461004028057,0.025354343562769444,0.0228845493015839
Los Angeles - CA,88.0,141.0,146.0,138.0,50.0,0.015706230345609473,0.021707952892859206,0.021971835148239416
Albany - NY,31.0,23.0,36.0,81.0,50.0,0.023747345955043242,0.02841555316943234,0.02562261568423252
Killeen - TX,70.0,117.0,123.0,124.0,54.0,0.018869459742996808,0.02431100789666485,0.023154987278020345
Scranton - PA,56.0,50.0,85.0,113.0,57.0,0.021042484596184297,0.026770661648133354,0.02410743294676765
Honolulu - HI,75.0,144.0,147.0,135.0,60.0,0.018212849408827392,0.021111236217323803,0.02228134045249286
Buffalo - NY,19.0,20.0,34.0,82.0,63.0,0.02547848106424233,0.028459206435304196,0.0256015140272865
Rochester - NY,25.0,27.0,40.0,89.0,64.0,0.024337385624577657,0.02831085739377759,0.025393159480370686
Lansing - MI,65.0,76.0,115.0,129.0,64.0,0.02009811379109805,0.025121774484409887,0.02264422646149522
New Haven - CT,33.0,34.0,57.0,98.0,65.0,0.023710586874481576,0.027878769828639793,0.02511740208646529
New York - NY,82.0,145.0,150.0,150.0,68.0,0.017002645241064318,0.019911061009584508,0.018968918242655564
Grand Rapids - MI,68.0,95.0,122.0,137.0,69.0,0.018924127709615712,0.02433367331049552,0.022069191523099052
Trenton - NJ,20.0,26.0,42.0,92.0,72.0,0.02532385130732151,0.028255447049057913,0.025299152953357495
Miami - FL,38.0,120.0,128.0,114.0,76.0,0.023095785049721984,0.024008083342888176,0.0241017234232197
Akron - OH,69.0,104.0,133.0,145.0,76.0,0.018886912015524393,0.023759673741942766,0.021030496375014307
Detroit - MI,30.0,39.0,76.0,106.0,76.0,0.023829969789130656,0.027110168078775754,0.024479949473978024
Omaha - NE,61.0,90.0,126.0,141.0,80.0,0.020636915001161382,0.024235630227170013,0.0217265334330472
Syracuse - NY,28.0,41.0,74.0,108.0,80.0,0.024091421371810195,0.027302957528025917,0.024331607462062532
Des Moines - IA,60.0,98.0,134.0,142.0,82.0,0.020749128830355845,0.023731470269742427,0.021254172077087796
Springfield - MO,47.0,71.0,116.0,136.0,89.0,0.022177437272564937,0.024820532477228152,0.022130358721578647
Toledo - OH,52.0,92.0,129.0,146.0,94.0,0.021332786982356522,0.023898718288120957,0.02097877938224113
Wichita - KS,53.0,99.0,137.0,148.0,95.0,0.02131727404822925,0.023390721320736718,0.020567424103052456
Fort Wayne - IN,44.0,77.0,118.0,139.0,95.0,0.022287668235389857,0.02462117699722821,0.021926536538201535
Flint - MI,43.0,83.0,125.0,143.0,100.0,0.02237338179576076,0.02425260064922674,0.021229023873948316
San Francisco - CA,3.0,3.0,29.0,105.0,102.0,0.034049737209462805,0.028602261834017373,0.024503381526859602
Dayton - OH,39.0,80.0,124.0,144.0,105.0,0.022655897994474872,0.024301577177346045,0.021143780951398572
Minneapolis - MN,4.0,7.0,52.0,111.0,107.0,0.03254830745283899,0.027913839283518094,0.024144706192859466
Tulsa - OK,40.0,94.0,135.0,147.0,107.0,0.022638635918069472,0.023623451187458233,0.020844403822810165
Madison - WI,16.0,48.0,100.0,126.0,110.0,0.026068352512424564,0.02606581473429115,0.023079882862153456
Canton - OH,21.0,51.0,105.0,133.0,112.0,0.02499563525054538,0.0257163225275292,0.022368865184857478
Chicago - IL,5.0,10.0,72.0,117.0,112.0,0.030649950961687544,0.027403191651440117,0.023856729266696686
Stamford - CT,8.0,13.0,65.0,121.0,113.0,0.02871041647927619,0.02772683140227028,0.023432103203937737
Youngstown - OH,12.0,46.0,99.0,131.0,119.0,0.026852093394144516,0.0260922231048224,0.022460409882048005
